Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Abbs Street,South,Brock Avenue and the west end of Abbs Street,Anytime,"{'start_intersection': 'Brock Avenue', 'end_intersection': 'the west end of Abbs Street', 'rule_type': 'block'}"
Aberdeen Avenue,North,A point 106.7 metres west of Parliament Street and a point 21.3 metres further west,Anytime,"{'dist1': '106.7', 'dir1': 'west', 'start_intersection': 'Parliament Street', 'dist2': '21.3', 'rule_type': 'relative_extension'}"
Aberdeen Avenue,South,Parliament Street and Ontario Street,Anytime,"{'start_intersection': 'Parliament Street', 'end_intersection': 'Ontario Street', 'rule_type': 'block'}"
Acacia Road,East,Belsize Drive and Davisville Avenue,Anytime,"{'start_intersection': 'Belsize Drive', 'end_intersection': 'Davisville Avenue', 'rule_type': 'block'}"
Adelaide Place,Both,Adelaide Street West and the south end of Adelaide Place,Anytime,"{'start_intersection': 'Adelaide Street West', 'end_intersection': 'the south end of Adelaide Place', 'rule_type': 'block'}"
Adelaide Street West,North,Massey Street and Strachan Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Massey Street', 'end_intersection': 'Strachan Avenue', 'rule_type': 'block'}"
Adelaide Street West,North,Tecumseth Street and Portugal Square,Anytime,"{'start_intersection': 'Tecumseth Street', 'end_intersection': 'Portugal Square', 'rule_type': 'block'}"
Adelaide Street West,South,Crawford Street and Bathurst Street,Anytime,"{'start_intersection': 'Crawford Street', 'end_intersection': 'Bathurst Street', 'rule_type': 'block'}"
Admiral Road,East and north,Lowther Avenue and St. George Street,Anytime,"{'start_intersection': 'Lowther Avenue', 'end_intersection': 'St. George Street', 'rule_type': 'block'}"
Admiral Road,West,A point 40 metres north of Lowther Avenue and a point 26 metres further north,Anytime,"{'dist1': '40', 'dir1': 'north', 'start_intersection': 'Lowther Avenue', 'dist2': '26', 'rule_type': 'relative_extension'}"
Adrian Avenue,South,Symington Avenue and Wiltshire Avenue,Anytime,"{'start_intersection': 'Symington Avenue', 'end_intersection': 'Wiltshire Avenue', 'rule_type': 'block'}"
Albert Franck Place,Both,Henry Lane Terrace and George Street South,Anytime,"{'start_intersection': 'Henry Lane Terrace', 'end_intersection': 'George Street South', 'rule_type': 'block'}"
Alberta Avenue,West,Tyrrel Avenue and Mount Royal Avenue,Anytime,"{'start_intersection': 'Tyrrel Avenue', 'end_intersection': 'Mount Royal Avenue', 'rule_type': 'block'}"
Albertus Avenue,South,Yonge Street and Duplex Avenue,Anytime,"{'start_intersection': 'Yonge Street', 'end_intersection': 'Duplex Avenue', 'rule_type': 'block'}"
Alcina Avenue,Both,Bathurst Street and a point 61 metres west,Anytime,"{'start_intersection': 'Bathurst Street', 'distance': '61', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Alcina Avenue,South,Wychwood Avenue and a point 61 metres west of Bathurst Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Wychwood Avenue', 'distance': '61', 'direction': 'west', 'offset_intersection': 'Bathurst Street', 'rule_type': 'intersect_to_offset'}"
Ainsworth Road,Both,The west end of Ainsworth Road and the east end of Ainsworth Road,Anytime,"{'start_intersection': 'The west end of Ainsworth Road', 'end_intersection': 'the east end of Ainsworth Road', 'rule_type': 'block'}"
Aitken Place,West,Longboat Avenue and Scadding Avenue,Anytime,"{'start_intersection': 'Longboat Avenue', 'end_intersection': 'Scadding Avenue', 'rule_type': 'block'}"
Albany Avenue,East,Barton Avenue and a point 36.5 metres north,Anytime,"{'start_intersection': 'Barton Avenue', 'distance': '36.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Albany Avenue,East,Bloor Street West and a point 51.8 metres north,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '51.8', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Albany Avenue,East,Bridgman Avenue and a point 137.9 metres north of Bridgman Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Bridgman Avenue', 'distance': '137.9', 'direction': 'north', 'offset_intersection': 'Bridgman Avenue', 'rule_type': 'intersect_to_offset'}"
Albany Avenue,East,Davenport Road and a point 70.4 metres south of Davenport Road,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Davenport Road', 'distance': '70.4', 'direction': 'south', 'offset_intersection': 'Davenport Road', 'rule_type': 'intersect_to_offset'}"
Albany Avenue,East,A point 137.9 metres north of Bridgman Avenue and a point 35.6 metres north thereof,Anytime,"{'dist1': '137.9', 'dir1': 'north', 'start_intersection': 'Bridgman Avenue', 'dist2': '35.6', 'rule_type': 'relative_extension'}"
Albermarle Avenue,North,A point 49.1 metres east of Hampton Avenue and a point 25 metres further east,Anytime,"{'dist1': '49.1', 'dir1': 'east', 'start_intersection': 'Hampton Avenue', 'dist2': '25', 'rule_type': 'relative_extension'}"
Alfresco Lawn,North,Lee Avenue and a point approximately 54.9 metres east of Leuty Avenue,"Anytime, except Sun. and public holidays","{'start_intersection': 'Lee Avenue', 'distance': '54.9', 'direction': 'east', 'offset_intersection': 'Leuty Avenue', 'rule_type': 'intersect_to_offset'}"
Alfresco Lawn,North,Wineva Avenue and a point approximately 30.5 metres west,Anytime,"{'start_intersection': 'Wineva Avenue', 'distance': '30.5', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Algarve Crescent,South and east,Turnberry Avenue and Old Weston Road,Anytime,"{'start_intersection': 'Turnberry Avenue', 'end_intersection': 'Old Weston Road', 'rule_type': 'block'}"
Alcorn Avenue,South,Walker Avenue and Oaklands Avenue,Anytime,"{'start_intersection': 'Walker Avenue', 'end_intersection': 'Oaklands Avenue', 'rule_type': 'block'}"
Aldburn Road,North,Glenarden Road and Fairleigh Crescent,Anytime,"{'start_intersection': 'Glenarden Road', 'end_intersection': 'Fairleigh Crescent', 'rule_type': 'block'}"
Aldbury Gardens,South,St. Hilda's Avenue and a point 30.5 metres east,Anytime,"{'start_intersection': ""St. Hilda's Avenue"", 'distance': '30.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Aldridge Avenue,East,Murdock Avenue and Danforth Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Murdock Avenue', 'end_intersection': 'Danforth Avenue', 'rule_type': 'block'}"
Alentejo Street,East,Turnberry Avenue and Sagres Crescent,Anytime,"{'start_intersection': 'Turnberry Avenue', 'end_intersection': 'Sagres Crescent', 'rule_type': 'block'}"
Alexander Place,West,Alexander Street and Maitland Street,Anytime,"{'start_intersection': 'Alexander Street', 'end_intersection': 'Maitland Street', 'rule_type': 'block'}"
